location_id,start_month,end_month,type_count,type_id,taxonomic_rank,taxonomic_rank_name,en_name,scientific_name,scientific_synonyms
606886,5,5,1,337,8,species,Canadian serviceberry,Amelanchier canadensis,
592486,9,9,1,277,6,genus,Dogwood,Cornus,
611306,8,,1,1,7,multispecies,Plum,Prunus,
2705,7,9,1,15,6,genus,Pear,Pyrus,
606544,6,7,1,115,6,genus,Serviceberry,Amelanchier,
606403,3,4,1,18,8,species,Loquat,Eriobotrya japonica,
665400,8,11,6,50,9,subspecies,Kale,Brassica oleracea var. acephala,
665400,8,11,6,55,6,genus,Pepper,Capsicum,
665400,8,11,6,105,6,genus,Strawberry,Fragaria,
665400,8,11,6,24,8,species,Rhubarb,Rheum rhabarbarum,
665400,8,11,6,14,8,species,Apple,Malus pumila,Malus domestica
2772,10,11,1,111,8,species,Black walnut,Juglans nigra,
569569,2,3,1,303,8,species,Jelly palm,Butia capitata,"Butia odorata, Cocos capitata"
569836,3,3,1,20,8,species,Common fig,Ficus carica,
606882,6,7,1,1,7,multispecies,Plum,Prunus,
2393,7,7,1,1,7,multispecies,Plum,Prunus,
570210,11,12,1,1,7,multispecies,Plum,Prunus,
657279,9,10,1,146,8,species,Ginkgo,Ginkgo biloba,Ginkgo
667110,5,6,1,173,8,species,Red mulberry,Morus rubra,
1731,4,5,1,92,6,genus,Mulberry,Morus,
568124,,12,1,14,8,species,Apple,Malus pumila,Malus domestica
665405,8,9,1,117,6,genus,Sumac,Rhus,
